tournament_id,position,team_id
WC-1930,1,T-84
WC-1930,2,T-03
WC-1930,3,T-83
WC-1930,4,T-87
WC-1934,1,T-41
WC-1934,2,T-21
WC-1934,3,T-31
WC-1934,4,T-05
WC-1938,1,T-41
WC-1938,2,T-36
WC-1938,3,T-09
WC-1938,4,T-74
WC-1950,1,T-84
WC-1950,2,T-09
WC-1950,3,T-74
WC-1950,4,T-73
WC-1954,1,T-86
WC-1954,2,T-36
WC-1954,3,T-05
WC-1954,4,T-84
WC-1958,1,T-09
WC-1958,2,T-74
WC-1958,3,T-30
WC-1958,4,T-86
WC-1962,1,T-09
WC-1962,2,T-21
WC-1962,3,T-13
WC-1962,4,T-87
WC-1966,1,T-28
WC-1966,2,T-86
WC-1966,3,T-58
WC-1966,4,T-72
WC-1970,1,T-09
WC-1970,2,T-41
WC-1970,3,T-86
WC-1970,4,T-84
WC-1974,1,T-86
WC-1974,2,T-48
WC-1974,3,T-57
WC-1974,4,T-09
WC-1978,1,T-03
WC-1978,2,T-48
WC-1978,3,T-09
WC-1978,4,T-41
WC-1982,1,T-41
WC-1982,2,T-86
WC-1982,3,T-57
WC-1982,4,T-30
WC-1986,1,T-03
WC-1986,2,T-86
WC-1986,3,T-30
WC-1986,4,T-06
WC-1990,1,T-86
WC-1990,2,T-03
WC-1990,3,T-41
WC-1990,4,T-28
WC-1991,1,T-83
WC-1991,2,T-53
WC-1991,3,T-74
WC-1991,4,T-31
WC-1994,1,T-09
WC-1994,2,T-41
WC-1994,3,T-74
WC-1994,4,T-10
WC-1995,1,T-53
WC-1995,2,T-31
WC-1995,3,T-83
WC-1995,4,T-14
WC-1998,1,T-30
WC-1998,2,T-09
WC-1998,3,T-18
WC-1998,4,T-48
WC-1999,1,T-83
WC-1999,2,T-14
WC-1999,3,T-09
WC-1999,4,T-53
WC-2002,1,T-09
WC-2002,2,T-31
WC-2002,3,T-80
WC-2002,4,T-71
WC-2003,1,T-31
WC-2003,2,T-74
WC-2003,3,T-83
WC-2003,4,T-12
WC-2006,1,T-41
WC-2006,2,T-30
WC-2006,3,T-31
WC-2006,4,T-58
WC-2007,1,T-31
WC-2007,2,T-09
WC-2007,3,T-83
WC-2007,4,T-53
WC-2010,1,T-73
WC-2010,2,T-48
WC-2010,3,T-31
WC-2010,4,T-84
WC-2011,1,T-44
WC-2011,2,T-83
WC-2011,3,T-74
WC-2011,4,T-30
WC-2014,1,T-31
WC-2014,2,T-03
WC-2014,3,T-48
WC-2014,4,T-09
WC-2015,1,T-83
WC-2015,2,T-44
WC-2015,3,T-28
WC-2015,4,T-31
WC-2018,1,T-30
WC-2018,2,T-18
WC-2018,3,T-06
WC-2018,4,T-28
WC-2019,1,T-83
WC-2019,2,T-48
WC-2019,3,T-74
WC-2019,4,T-28
WC-2022,1,T-03
WC-2022,2,T-30
WC-2022,3,T-18
WC-2022,4,T-47
