goal_id,tournament_id,match_id,team_id,home_team,away_team,player_id,shirt_number,player_team_id,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
G-0001,WC-1930,M-1930-01,T-30,1,0,P-05470,0,T-30,19',19,0,first half,0,0
G-0002,WC-1930,M-1930-01,T-30,1,0,P-99087,0,T-30,40',40,0,first half,0,0
G-0003,WC-1930,M-1930-01,T-30,1,0,P-60620,0,T-30,43',43,0,first half,0,0
G-0004,WC-1930,M-1930-01,T-46,0,1,P-94135,0,T-46,70',70,0,second half,0,0
G-0005,WC-1930,M-1930-01,T-30,1,0,P-60620,0,T-30,87',87,0,second half,0,0
G-0006,WC-1930,M-1930-02,T-83,1,0,P-65185,0,T-83,23',23,0,first half,0,0
G-0007,WC-1930,M-1930-02,T-83,1,0,P-37361,0,T-83,45',45,0,first half,0,0
G-0008,WC-1930,M-1930-02,T-83,1,0,P-71973,0,T-83,69',69,0,second half,0,0
G-0009,WC-1930,M-1930-03,T-87,1,0,P-43349,0,T-87,21',21,0,first half,0,0
G-0010,WC-1930,M-1930-03,T-87,1,0,P-43734,0,T-87,30',30,0,first half,0,0
G-0011,WC-1930,M-1930-03,T-09,0,1,P-91171,0,T-09,62',62,0,second half,0,0
G-0012,WC-1930,M-1930-04,T-61,1,0,P-91295,0,T-61,1',1,0,first half,0,0
G-0013,WC-1930,M-1930-04,T-56,0,1,P-44010,0,T-56,75',75,0,second half,0,0
G-0014,WC-1930,M-1930-04,T-61,1,0,P-18615,0,T-61,79',79,0,second half,0,0
G-0015,WC-1930,M-1930-04,T-61,1,0,P-70294,0,T-61,89',89,0,second half,0,0
G-0016,WC-1930,M-1930-05,T-03,1,0,P-25760,0,T-03,81',81,0,second half,0,0
G-0017,WC-1930,M-1930-06,T-13,1,0,P-61338,0,T-13,3',3,0,first half,0,0
G-0018,WC-1930,M-1930-06,T-13,1,0,P-89481,0,T-46,52',52,0,second half,1,0
G-0019,WC-1930,M-1930-06,T-13,1,0,P-61338,0,T-13,65',65,0,second half,0,0
G-0020,WC-1930,M-1930-07,T-87,1,0,P-43734,0,T-87,60',60,0,second half,0,0
G-0021,WC-1930,M-1930-07,T-87,1,0,P-75929,0,T-87,65',65,0,second half,0,0
G-0022,WC-1930,M-1930-07,T-87,1,0,P-43734,0,T-87,67',67,0,second half,0,0
G-0023,WC-1930,M-1930-07,T-87,1,0,P-33565,0,T-87,85',85,0,second half,0,0
G-0024,WC-1930,M-1930-08,T-83,1,0,P-71973,0,T-83,10',10,0,first half,0,0
G-0025,WC-1930,M-1930-08,T-83,1,0,P-71973,0,T-83,15',15,0,first half,0,0
G-0026,WC-1930,M-1930-08,T-83,1,0,P-71973,0,T-83,50',50,0,second half,0,0
G-0027,WC-1930,M-1930-09,T-84,1,0,P-54697,0,T-84,65',65,0,second half,0,0
G-0028,WC-1930,M-1930-10,T-13,1,0,P-08459,0,T-13,67',67,0,second half,0,0
G-0029,WC-1930,M-1930-11,T-03,1,0,P-56486,0,T-03,8',8,0,first half,0,0
G-0030,WC-1930,M-1930-11,T-03,1,0,P-76546,0,T-03,12',12,0,first half,0,0
G-0031,WC-1930,M-1930-11,T-03,1,0,P-56486,0,T-03,17',17,0,first half,0,0
G-0032,WC-1930,M-1930-11,T-46,0,1,P-89481,0,T-46,42',42,0,first half,0,1
G-0033,WC-1930,M-1930-11,T-03,1,0,P-37326,0,T-03,53',53,0,second half,0,0
G-0034,WC-1930,M-1930-11,T-03,1,0,P-76546,0,T-03,55',55,0,second half,0,0
G-0035,WC-1930,M-1930-11,T-46,0,1,P-89481,0,T-46,65',65,0,second half,0,0
G-0036,WC-1930,M-1930-11,T-46,0,1,P-31066,0,T-46,75',75,0,second half,0,0
G-0037,WC-1930,M-1930-11,T-03,1,0,P-56486,0,T-03,80',80,0,second half,0,0
G-0038,WC-1930,M-1930-12,T-09,1,0,P-83987,0,T-09,37',37,0,first half,0,0
G-0039,WC-1930,M-1930-12,T-09,1,0,P-91171,0,T-09,57',57,0,second half,0,0
G-0040,WC-1930,M-1930-12,T-09,1,0,P-83987,0,T-09,73',73,0,second half,0,0
G-0041,WC-1930,M-1930-12,T-09,1,0,P-91171,0,T-09,83',83,0,second half,0,0
G-0042,WC-1930,M-1930-13,T-55,1,0,P-06201,0,T-55,40',40,0,first half,0,0
G-0043,WC-1930,M-1930-14,T-84,1,0,P-38674,0,T-84,7',7,0,first half,0,0
G-0044,WC-1930,M-1930-14,T-84,1,0,P-44201,0,T-84,26',26,0,first half,0,0
G-0045,WC-1930,M-1930-14,T-84,1,0,P-57352,0,T-84,31',31,0,first half,0,0
G-0046,WC-1930,M-1930-14,T-84,1,0,P-18628,0,T-84,35',35,0,first half,0,0
G-0047,WC-1930,M-1930-15,T-03,1,0,P-56486,0,T-03,12',12,0,first half,0,0
G-0048,WC-1930,M-1930-15,T-03,1,0,P-56486,0,T-03,13',13,0,first half,0,0
G-0049,WC-1930,M-1930-15,T-13,0,1,P-08459,0,T-13,15',15,0,first half,0,0
G-0050,WC-1930,M-1930-15,T-03,1,0,P-23897,0,T-03,51',51,0,second half,0,0
G-0051,WC-1930,M-1930-16,T-03,1,0,P-25760,0,T-03,20',20,0,first half,0,0
G-0052,WC-1930,M-1930-16,T-03,1,0,P-44916,0,T-03,56',56,0,second half,0,0
G-0053,WC-1930,M-1930-16,T-03,1,0,P-56486,0,T-03,69',69,0,second half,0,0
G-0054,WC-1930,M-1930-16,T-03,1,0,P-70166,0,T-03,80',80,0,second half,0,0
G-0055,WC-1930,M-1930-16,T-03,1,0,P-70166,0,T-03,85',85,0,second half,0,0
G-0056,WC-1930,M-1930-16,T-03,1,0,P-56486,0,T-03,87',87,0,second half,0,0
G-0057,WC-1930,M-1930-16,T-83,0,1,P-06424,0,T-83,89',89,0,second half,0,0
G-0058,WC-1930,M-1930-17,T-87,0,1,P-33565,0,T-87,4',4,0,first half,0,0
G-0059,WC-1930,M-1930-17,T-84,1,0,P-18628,0,T-84,18',18,0,first half,0,0
G-0060,WC-1930,M-1930-17,T-84,1,0,P-57352,0,T-84,20',20,0,first half,0,0
G-0061,WC-1930,M-1930-17,T-84,1,0,P-57352,0,T-84,31',31,0,first half,0,0
G-0062,WC-1930,M-1930-17,T-84,1,0,P-31959,0,T-84,61',61,0,second half,0,0
