tournament_id,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,home_team_id,away_team_id,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw
WC-1930,M-1930-01,France vs Mexico,group stage,Group 1,1,0,0,0,-14417.0,15:00,S-240,T-30,T-46,4–1,4,1,3,-3,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-02,United States vs Belgium,group stage,Group 4,1,0,0,0,-14417.0,15:00,S-239,T-83,T-06,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-03,Yugoslavia vs Brazil,group stage,Group 2,1,0,0,0,-14416.0,12:45,S-239,T-87,T-09,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-04,Romania vs Peru,group stage,Group 3,1,0,0,0,-14416.0,14:50,S-240,T-61,T-56,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-05,Argentina vs France,group stage,Group 1,1,0,0,0,-14415.0,16:00,S-239,T-03,T-30,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-06,Chile vs Mexico,group stage,Group 1,1,0,0,0,-14414.0,14:45,S-239,T-13,T-46,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-07,Yugoslavia vs Bolivia,group stage,Group 2,1,0,0,0,-14413.0,12:45,S-239,T-87,T-07,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-08,United States vs Paraguay,group stage,Group 4,1,0,0,0,-14413.0,14:45,S-239,T-83,T-55,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-09,Uruguay vs Peru,group stage,Group 3,1,0,0,0,-14412.0,14:30,S-238,T-84,T-56,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-10,Chile vs France,group stage,Group 1,1,0,0,0,-14411.0,12:50,S-238,T-13,T-30,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-11,Argentina vs Mexico,group stage,Group 1,1,0,0,0,-14411.0,15:00,S-238,T-03,T-46,6–3,6,3,3,-3,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-12,Brazil vs Bolivia,group stage,Group 2,1,0,0,0,-14410.0,13:00,S-238,T-09,T-07,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-13,Paraguay vs Belgium,group stage,Group 4,1,0,0,0,-14410.0,15:00,S-238,T-55,T-06,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-14,Uruguay vs Romania,group stage,Group 3,1,0,0,0,-14409.0,14:50,S-238,T-84,T-61,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-15,Argentina vs Chile,group stage,Group 1,1,0,0,0,-14408.0,14:45,S-238,T-03,T-13,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-16,Argentina vs United States,semi-finals,not applicable,0,1,0,0,-14404.0,14:45,S-238,T-03,T-83,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-17,Uruguay vs Yugoslavia,semi-finals,not applicable,0,1,0,0,-14403.0,14:45,S-238,T-84,T-87,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0
WC-1930,M-1930-18,Uruguay vs Argentina,final,not applicable,0,1,0,0,-14400.0,14:15,S-238,T-84,T-03,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-01,Austria vs France,round of 16,not applicable,0,1,0,0,-13003.0,16:00,S-114,T-05,T-30,3–2,3,2,1,-1,1,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-02,Czechoslovakia vs Romania,round of 16,not applicable,0,1,0,0,-13003.0,16:00,S-113,T-21,T-61,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-03,Germany vs Belgium,round of 16,not applicable,0,1,0,0,-13003.0,16:00,S-105,T-31,T-06,5–2,5,2,3,-3,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-04,Hungary vs Egypt,round of 16,not applicable,0,1,0,0,-13003.0,16:00,S-108,T-36,T-26,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-05,Italy vs United States,round of 16,not applicable,0,1,0,0,-13003.0,16:00,S-111,T-41,T-83,7–1,7,1,6,-6,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-06,Spain vs Brazil,round of 16,not applicable,0,1,0,0,-13003.0,16:00,S-106,T-73,T-09,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-07,Sweden vs Argentina,round of 16,not applicable,0,1,0,0,-13003.0,16:00,S-102,T-74,T-03,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-08,Switzerland vs Netherlands,round of 16,not applicable,0,1,0,0,-13003.0,16:00,S-107,T-75,T-48,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-09,Austria vs Hungary,quarter-finals,not applicable,0,1,0,0,-12999.0,16:30,S-102,T-05,T-36,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-10,Czechoslovakia vs Switzerland,quarter-finals,not applicable,0,1,0,0,-12999.0,16:30,S-114,T-21,T-75,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-11,Germany vs Sweden,quarter-finals,not applicable,0,1,0,0,-12999.0,16:30,S-107,T-31,T-74,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-12,Italy vs Spain,quarter-finals,not applicable,0,1,1,0,-12999.0,16:30,S-105,T-41,T-73,1–1,1,1,0,0,1,0,0-0,0,0,draw,0,0,1
WC-1934,M-1934-13,Italy vs Spain,quarter-finals,not applicable,0,1,0,1,-12998.0,16:30,S-105,T-41,T-73,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-14,Czechoslovakia vs Germany,semi-finals,not applicable,0,1,0,0,-12996.0,16:30,S-111,T-21,T-31,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-15,Italy vs Austria,semi-finals,not applicable,0,1,0,0,-12996.0,16:30,S-107,T-41,T-05,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-16,Germany vs Austria,third-place match,not applicable,0,1,0,0,-12992.0,18:00,S-108,T-31,T-05,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0
WC-1934,M-1934-17,Italy vs Czechoslovakia,final,not applicable,0,1,0,0,-12989.0,17:00,S-111,T-41,T-21,2–1,2,1,1,-1,1,0,0-0,0,0,home team win,1,0,0
WC-1938,M-1938-01,Switzerland vs Germany,round of 16,not applicable,0,1,1,0,-11534.0,17:00,S-068,T-75,T-31,1–1,1,1,0,0,1,0,0-0,0,0,draw,0,0,1
WC-1938,M-1938-02,Cuba vs Romania,round of 16,not applicable,0,1,1,0,-11533.0,17:00,S-077,T-19,T-61,3–3,3,3,0,0,1,0,0-0,0,0,draw,0,0,1
