tournament_id,match_id,team_id,opponent_id,home_team,away_team,goals_for,goals_against,goal_differential,extra_time,penalty_shootout,penalties_for,penalties_against,result,win,lose,draw
WC-1930,M-1930-01,T-30,T-46,1,0,4,1,3,0,0,0,0,win,1,0,0
WC-1930,M-1930-01,T-46,T-30,0,1,1,4,-3,0,0,0,0,lose,0,1,0
WC-1930,M-1930-02,T-06,T-83,0,1,0,3,-3,0,0,0,0,lose,0,1,0
WC-1930,M-1930-02,T-83,T-06,1,0,3,0,3,0,0,0,0,win,1,0,0
WC-1930,M-1930-03,T-09,T-87,0,1,1,2,-1,0,0,0,0,lose,0,1,0
WC-1930,M-1930-03,T-87,T-09,1,0,2,1,1,0,0,0,0,win,1,0,0
WC-1930,M-1930-04,T-56,T-61,0,1,1,3,-2,0,0,0,0,lose,0,1,0
WC-1930,M-1930-04,T-61,T-56,1,0,3,1,2,0,0,0,0,win,1,0,0
WC-1930,M-1930-05,T-03,T-30,1,0,1,0,1,0,0,0,0,win,1,0,0
WC-1930,M-1930-05,T-30,T-03,0,1,0,1,-1,0,0,0,0,lose,0,1,0
WC-1930,M-1930-06,T-13,T-46,1,0,3,0,3,0,0,0,0,win,1,0,0
WC-1930,M-1930-06,T-46,T-13,0,1,0,3,-3,0,0,0,0,lose,0,1,0
WC-1930,M-1930-07,T-07,T-87,0,1,0,4,-4,0,0,0,0,lose,0,1,0
WC-1930,M-1930-07,T-87,T-07,1,0,4,0,4,0,0,0,0,win,1,0,0
WC-1930,M-1930-08,T-55,T-83,0,1,0,3,-3,0,0,0,0,lose,0,1,0
WC-1930,M-1930-08,T-83,T-55,1,0,3,0,3,0,0,0,0,win,1,0,0
WC-1930,M-1930-09,T-56,T-84,0,1,0,1,-1,0,0,0,0,lose,0,1,0
WC-1930,M-1930-09,T-84,T-56,1,0,1,0,1,0,0,0,0,win,1,0,0
WC-1930,M-1930-10,T-13,T-30,1,0,1,0,1,0,0,0,0,win,1,0,0
WC-1930,M-1930-10,T-30,T-13,0,1,0,1,-1,0,0,0,0,lose,0,1,0
WC-1930,M-1930-11,T-03,T-46,1,0,6,3,3,0,0,0,0,win,1,0,0
WC-1930,M-1930-11,T-46,T-03,0,1,3,6,-3,0,0,0,0,lose,0,1,0
WC-1930,M-1930-12,T-07,T-09,0,1,0,4,-4,0,0,0,0,lose,0,1,0
WC-1930,M-1930-12,T-09,T-07,1,0,4,0,4,0,0,0,0,win,1,0,0
WC-1930,M-1930-13,T-06,T-55,0,1,0,1,-1,0,0,0,0,lose,0,1,0
WC-1930,M-1930-13,T-55,T-06,1,0,1,0,1,0,0,0,0,win,1,0,0
WC-1930,M-1930-14,T-61,T-84,0,1,0,4,-4,0,0,0,0,lose,0,1,0
WC-1930,M-1930-14,T-84,T-61,1,0,4,0,4,0,0,0,0,win,1,0,0
WC-1930,M-1930-15,T-03,T-13,1,0,3,1,2,0,0,0,0,win,1,0,0
WC-1930,M-1930-15,T-13,T-03,0,1,1,3,-2,0,0,0,0,lose,0,1,0
WC-1930,M-1930-16,T-03,T-83,1,0,6,1,5,0,0,0,0,win,1,0,0
WC-1930,M-1930-16,T-83,T-03,0,1,1,6,-5,0,0,0,0,lose,0,1,0
WC-1930,M-1930-17,T-84,T-87,1,0,6,1,5,0,0,0,0,win,1,0,0
WC-1930,M-1930-17,T-87,T-84,0,1,1,6,-5,0,0,0,0,lose,0,1,0
WC-1930,M-1930-18,T-03,T-84,0,1,2,4,-2,0,0,0,0,lose,0,1,0
WC-1930,M-1930-18,T-84,T-03,1,0,4,2,2,0,0,0,0,win,1,0,0
WC-1934,M-1934-01,T-05,T-30,1,0,3,2,1,1,0,0,0,win,1,0,0
WC-1934,M-1934-01,T-30,T-05,0,1,2,3,-1,1,0,0,0,lose,0,1,0
WC-1934,M-1934-02,T-21,T-61,1,0,2,1,1,0,0,0,0,win,1,0,0
WC-1934,M-1934-02,T-61,T-21,0,1,1,2,-1,0,0,0,0,lose,0,1,0
WC-1934,M-1934-03,T-06,T-31,0,1,2,5,-3,0,0,0,0,lose,0,1,0
WC-1934,M-1934-03,T-31,T-06,1,0,5,2,3,0,0,0,0,win,1,0,0
WC-1934,M-1934-04,T-26,T-36,0,1,2,4,-2,0,0,0,0,lose,0,1,0
WC-1934,M-1934-04,T-36,T-26,1,0,4,2,2,0,0,0,0,win,1,0,0
WC-1934,M-1934-05,T-41,T-83,1,0,7,1,6,0,0,0,0,win,1,0,0
WC-1934,M-1934-05,T-83,T-41,0,1,1,7,-6,0,0,0,0,lose,0,1,0
WC-1934,M-1934-06,T-09,T-73,0,1,1,3,-2,0,0,0,0,lose,0,1,0
WC-1934,M-1934-06,T-73,T-09,1,0,3,1,2,0,0,0,0,win,1,0,0
WC-1934,M-1934-07,T-03,T-74,0,1,2,3,-1,0,0,0,0,lose,0,1,0
WC-1934,M-1934-07,T-74,T-03,1,0,3,2,1,0,0,0,0,win,1,0,0
WC-1934,M-1934-08,T-48,T-75,0,1,2,3,-1,0,0,0,0,lose,0,1,0
WC-1934,M-1934-08,T-75,T-48,1,0,3,2,1,0,0,0,0,win,1,0,0
WC-1934,M-1934-09,T-05,T-36,1,0,2,1,1,0,0,0,0,win,1,0,0
WC-1934,M-1934-09,T-36,T-05,0,1,1,2,-1,0,0,0,0,lose,0,1,0
WC-1934,M-1934-10,T-21,T-75,1,0,3,2,1,0,0,0,0,win,1,0,0
WC-1934,M-1934-10,T-75,T-21,0,1,2,3,-1,0,0,0,0,lose,0,1,0
